Timestamp,What is your Gender?,How old are you? ,What is your employment type?  ,What is your phone screen time per day? (in hours) ,How long do you spend asleep on average each night?  (in hours),"How many devices do you use per day? (e.g. Phone, laptop, iPad, etc)",How long do you spend studying on average per day? (in hours),What time do you generally go to bed?,"Do you take notes with Pen and Paper or digitally (e.g. laptop, iPad)?"
3/26/2024 9:37:00,Male,16 - 20,Casual,6.5,5,2,7,After 1am,Digitally
3/26/2024 9:37:06,Male,16 - 20,Casual,4,7,3,5,12am - 1am,Digitally
3/26/2024 9:37:17,Male,21 - 25,Part-Time,4.29,6,2,3,11pm - 12am,Digitally
3/26/2024 9:38:01,Male,16 - 20,Student,4,8,3,4,11pm - 12am,Pen and Paper
3/26/2024 9:38:19,Male,16 - 20,Student,4,6,4,6,11pm - 12am,Digitally
3/26/2024 9:38:33,Male,16 - 20,Student,5.5,7.5,>5,2.5,10pm - 11pm,Digitally
3/26/2024 9:38:37,Male,16 - 20,Part-Time,5,7,3,4,10pm - 11pm,Digitally
3/26/2024 9:38:43,Male,21 - 25,Student,4,5,2,5,After 1am,Pen and Paper
3/26/2024 9:40:10,Male,16 - 20,Student,4,8,3,5,11pm - 12am,Pen and Paper
3/26/2024 9:40:58,Female,16 - 20,Unemployed,2,7,2,5,11pm - 12am,Digitally
3/26/2024 9:42:34,Male,16 - 20,Casual,3.5,9,2,3,10pm - 11pm,Digitally
3/26/2024 9:43:16,Male,16 - 20,Student,4,8,3,5,11pm - 12am,Pen and Paper
3/26/2024 9:44:13,Male,26 - 30,Student,3,5,3,2,12am - 1am,Digitally
3/26/2024 9:44:18,Male,16 - 20,Casual,3,9,3,1,11pm - 12am,Pen and Paper
3/26/2024 9:47:12,Male,16 - 20,Student,7,7,3,5,After 1am,Pen and Paper
3/26/2024 9:47:36,Male,16 - 20,Student,9,7,2,2,12am - 1am,Pen and Paper
3/26/2024 9:47:49,Male,26 - 30,Part-Time,4,6,2,4,12am - 1am,Pen and Paper
3/26/2024 9:47:52,Female,16 - 20,Student,3,8,2,2,10pm - 11pm,Digitally
3/26/2024 9:50:14,Female,16 - 20,Casual,2.5,10,3,3,10pm - 11pm,Digitally
3/26/2024 9:52:20,Male,16 - 20,Student,2,6,3,2,12am - 1am,Digitally
3/26/2024 9:52:21,Female,16 - 20,Casual,1.19,8,3,4,9pm - 10pm,Digitally
3/26/2024 9:56:05,Female,16 - 20,Casual,6,7,2,8,10pm - 11pm,Pen and Paper
3/26/2024 10:15:11,Female,16 - 20,Student,8,7,3,2,11pm - 12am,Digitally
3/26/2024 10:20:01,Female,16 - 20,Student,8,8,2,5,12am - 1am,Digitally
3/26/2024 10:28:48,Female,16 - 20,Casual,3,8,3,3,11pm - 12am,Digitally
3/26/2024 10:39:50,Female,16 - 20,Casual,3,7,3,1,11pm - 12am,Pen and Paper
3/26/2024 10:54:01,Male,21 - 25,Part-Time,4,7.5,3,1,12am - 1am,Digitally
3/26/2024 11:29:50,Female,16 - 20,Unemployed,3,6,2,2,11pm - 12am,Digitally
3/26/2024 11:33:14,Female,16 - 20,Student,3.5,7,3,5,9pm - 10pm,Digitally
3/26/2024 11:34:08,Female,16 - 20,Casual,5,7,3,3,11pm - 12am,Digitally
3/26/2024 11:35:35,Female,21 - 25,Unemployed,2,8,2,1,After 1am,Digitally
3/26/2024 11:36:40,Male,16 - 20,Part-Time,5,6,2,5,11pm - 12am,Digitally
3/26/2024 11:37:36,Female,21 - 25,Casual,2,6,3,4,11pm - 12am,Digitally
3/26/2024 11:44:47,Male,16 - 20,Part-Time,7,7,2,2,12am - 1am,Pen and Paper
3/26/2024 12:14:53,Male,16 - 20,Student,4,8,3,2,12am - 1am,Digitally
3/26/2024 12:29:44,Female,16 - 20,Casual,8,7,3,4,12am - 1am,Digitally
3/26/2024 13:08:42,Female,16 - 20,Part-Time,6,6,3,0.25,10pm - 11pm,Pen and Paper
3/26/2024 13:23:44,Female,16 - 20,Student,9,9,3,1,10pm - 11pm,Digitally
3/26/2024 13:40:59,Male,16 - 20,Part-Time,4,6,>5,1,11pm - 12am,Pen and Paper
3/26/2024 13:55:50,Male,16 - 20,Student,5,8,2,6,12am - 1am,Digitally
3/26/2024 14:41:16,Female,21 - 25,Full-Time,7,9,3,8,11pm - 12am,Pen and Paper
3/26/2024 15:03:21,Male,21 - 25,Part-Time,7,5,2,2,12am - 1am,Digitally
3/26/2024 17:28:12,Male,21 - 25,Other,5,7,2,0.5,After 1am,Digitally
3/26/2024 21:11:57,Male,16 - 20,Student,0,7,1,3,11pm - 12am,Pen and Paper
3/26/2024 21:31:30,Male,16 - 20,Full-Time,4,5,2,1,11pm - 12am,Pen and Paper
3/27/2024 8:13:20,Female,16 - 20,Unemployed,4,6,2,3,10pm - 11pm,Pen and Paper
3/27/2024 9:13:16,Female,16 - 20,Casual,4,5,3,5,11pm - 12am,Digitally
3/27/2024 9:45:01,Female,16 - 20,Other,5,7,2,3,11pm - 12am,Digitally
3/27/2024 10:14:55,Male,16 - 20,Casual,4,7.5,4,3,12am - 1am,Digitally
